post_id,title,category,score,num_comments,author,collected_at
47684326,OpenAI says its new model GPT-2 is too dangerous to release (2019),Technology,212,54.0,surprisetalk,2026-04-08 03:51:03
47679121,Project Glasswing: Securing critical software for the AI era,Technology,994,436.0,Ryan5453,2026-04-08 03:51:03
47624572,A database of analog cameras that can be 3D printed,Technology,48,5.0,thomasjb,2026-04-08 03:51:04
47675625,Cloudflare targets 2029 for full post-quantum security,Technology,292,93.0,ilreb,2026-04-08 03:51:04
47664836,AI helps add 10k more photos to OldNYC,Technology,125,41.0,evakhoury,2026-04-08 03:51:04
47677241,Taste in the age of AI and LLMs,Technology,226,188.0,speckx,2026-04-08 03:51:04
47674606,Show HN: Unicode Steganography,Technology,21,3.0,PatrickVuscan,2026-04-08 03:51:04
47682908,AI Assistance Reduces Persistence and Hurts Independent Performance,Technology,9,2.0,dougb5,2026-04-08 03:51:04
47680532,"Cells for NetBSD: kernel-enforced, jail-like isolation",Technology,43,11.0,akagusu,2026-04-08 03:51:04
47675013,Dropping Cloudflare for Bunny.net,Technology,375,190.0,shintoist,2026-04-08 03:51:04
47680023,Tailslayer: Library for reducing tail latency in RAM reads,Technology,47,16.0,hasheddan,2026-04-08 03:51:05
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,Technology,401,192.0,henrygarner,2026-04-08 03:51:05
47672318,Blackholing My Email,Technology,168,33.0,semyonsh,2026-04-08 03:51:05
47682879,We need re-learn what AI agent development tools are in 2026,Technology,3,0.0,healsdata,2026-04-08 03:51:05
47673541,AI may be making us think and write more alike,Technology,215,229.0,giuliomagnifico,2026-04-08 03:51:05
47641528,Apollo Guidance Computer restoration videos,Technology,88,11.0,mariuz,2026-04-08 03:51:05
47674950,An AI robot in my home,Technology,16,5.0,kukanani,2026-04-08 03:51:06
47681602,Show HN: Mo – checks GitHub PRs against decisions approved in Slack,Technology,4,0.0,oscarcaldera,2026-04-08 03:51:06
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,Technology,1294,715.0,StanAngeloff,2026-04-08 03:51:06
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",Technology,160,257.0,tantalor,2026-04-08 03:51:06
47682075,New York Times Got Played by a Telehealth Scam and Called It the Future of AI,Technology,20,7.0,hn_acker,2026-04-08 03:51:06
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",Technology,120,23.0,kitfunso,2026-04-08 03:51:06
47662596,AI singer now occupies eleven spots on iTunes singles chart,Technology,238,373.0,flinner,2026-04-08 03:51:06
47682435,Fifth Element Star Milla Jovovich Reveals AI Memory Tool MemPalace,Technology,6,1.0,iamben,2026-04-08 03:51:07
47665902,Wikipedia's AI agent row likely just the beginning of the bot-ocalypse,Technology,65,88.0,hackernj,2026-04-08 03:51:07
47677853,GLM-5.1: Towards Long-Horizon Tasks,World News,452,173.0,zixuanlimit,2026-04-08 03:51:04
47680124,IPv6 is the only way forward,World News,40,111.0,quaintdev,2026-04-08 03:51:04
47676557,Moving fast in hardware: lessons from lab to $100M ARR,World News,98,24.0,rryan,2026-04-08 03:51:04
47683613,ICE acknowledges it is using powerful spyware,World News,29,3.0,dnemmers,2026-04-08 03:51:04
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,World News,154,26.0,intofarlands,2026-04-08 03:51:05
47670981,"Three hundred synths, 3 hardware projects, and one app",World News,114,17.0,ductionist,2026-04-08 03:51:05
47629021,Global Physics Photowalk: 2025 winners revealed,World News,26,1.0,ibobev,2026-04-08 03:51:05
47677952,The Blueprint of a North Korean Attack on Open-Source,World News,26,10.0,brene,2026-04-08 03:51:06
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,World News,318,157.0,Bender,2026-04-08 03:51:06
47662945,Show HN: GovAuctions lets you browse government auctions at once,World News,312,88.0,player_piano,2026-04-08 03:51:07
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",World News,30,6.0,lschueller,2026-04-08 03:51:07
47647788,The threat is comfortable drift toward not understanding what you're doing,World News,970,616.0,zaikunzhang,2026-04-08 03:51:08
47681094,"Al-Khwarizmi (""Algorithm"")",World News,6,1.0,profsummergig,2026-04-08 03:51:08
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,World News,12,1.0,manarth,2026-04-08 03:51:08
47673182,Health benefits of Paris climate goals could save lives by 2040,World News,7,0.0,lentoutcry,2026-04-08 03:51:10
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,World News,15,12.0,toomuchtodo,2026-04-08 03:51:11
47680527,Russia's Fancy Bear still attacking routers to boost fake sites,World News,6,0.0,lschueller,2026-04-08 03:51:12
47645817,How Pope Leo is pushing back on divine justification of war,World News,76,42.0,1659447091,2026-04-08 03:51:12
47670990,Non-Normal Distributions in the Real World,World News,5,0.0,Tomte,2026-04-08 03:51:13
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,World News,42,12.0,anigbrowl,2026-04-08 03:51:13
47664308,JPMorgan warns Tesla stock could sink 60% in new note,World News,61,18.0,freediddy,2026-04-08 03:51:13
47668996,Hello World,World News,6,1.0,beatthatflight,2026-04-08 03:51:13
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,World News,132,10.0,01-_-,2026-04-08 03:51:14
47621518,Tor Alva: The Tallest 3D-Printed Building in the World,World News,44,14.0,sohkamyung,2026-04-08 03:51:14
47630795,"Hello, World",World News,92,23.0,reconnecting,2026-04-08 03:51:14
47653642,Binary obfuscation used in AAA Games,Sports,36,5.0,noztol,2026-04-08 03:51:04
47672778,Breaking the console: a brief history of video game security,Sports,89,26.0,sprado,2026-04-08 03:51:05
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",Sports,528,158.0,akyuu,2026-04-08 03:51:06
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",Sports,16,5.0,nradov,2026-04-08 03:51:06
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,Sports,303,189.0,keepamovin,2026-04-08 03:51:07
47640728,Show HN: A game where you build a GPU,Sports,954,186.0,Jaso1024,2026-04-08 03:51:07
47637377,LÖVE: 2D Game Framework for Lua,Sports,412,215.0,cl3misch,2026-04-08 03:51:07
47639727,"When legal sports betting surges, so do Americans' financial problems",Sports,221,146.0,pseudolus,2026-04-08 03:51:10
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,Sports,6,3.0,naorz,2026-04-08 03:51:10
47633676,"Extra usage credit for Pro, Max, and Team plans",Sports,64,61.0,angst,2026-04-08 03:51:11
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",Sports,24,4.0,andsoitis,2026-04-08 03:51:11
47641615,Sopwith – 1984 Game (2000),Sports,99,42.0,elvis70,2026-04-08 03:51:12
47654629,The Harvard Library Passport,Sports,4,0.0,fi-le,2026-04-08 03:51:13
47627217,Running out of disk space in production,Science,167,87.0,romes,2026-04-08 03:51:04
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,Science,54,0.0,tosh,2026-04-08 03:51:07
47650502,Computational Physics (2nd Edition) (2025),Science,183,22.0,teleforce,2026-04-08 03:51:07
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,Science,116,65.0,salt4034,2026-04-08 03:51:08
47648404,My Google Workspace account suspension,Science,369,218.0,zenincognito,2026-04-08 03:51:09
47629485,A case study in testing with 100+ Claude agents in parallel,Science,66,54.0,thejash,2026-04-08 03:51:10
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,Science,3,1.0,LabsLucas,2026-04-08 03:51:14
47669604,"Astronauts Dedicate Moon Crater to Carroll Wiseman, Wife of NASA Commander",Science,5,0.0,shpat,2026-04-08 03:51:14
47681112,Show HN: An interactive map of Tolkien's Middle-earth,Entertainment,115,22.0,frasermarlow,2026-04-08 03:51:04
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),Entertainment,715,218.0,sam-bee,2026-04-08 03:51:04
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,Entertainment,137,20.0,MediaSquirrel,2026-04-08 03:51:04
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,Entertainment,77,29.0,1659447091,2026-04-08 03:51:05
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,Entertainment,93,17.0,Sean-Der,2026-04-08 03:51:05
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,Entertainment,23,10.0,ashish004,2026-04-08 03:51:05
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",Entertainment,229,190.0,Zm44,2026-04-08 03:51:05
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,Entertainment,453,194.0,MattHart88,2026-04-08 03:51:06
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,Entertainment,107,31.0,noone_youknow,2026-04-08 03:51:06
47637828,Show HN: Tusk for macOS and Gnome,Entertainment,114,42.0,factorialboy,2026-04-08 03:51:06
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,Entertainment,31,27.0,fsloth,2026-04-08 03:51:06
47655408,Show HN: I built a tiny LLM to demystify how language models work,Entertainment,892,134.0,armanified,2026-04-08 03:51:06
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,Entertainment,63,12.0,4RH1T3CT0R,2026-04-08 03:51:07
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,Entertainment,10,0.0,meribold,2026-04-08 03:51:07
47679573,Apple Is Reportedly Facing a 'Massive Dilemma' with the MacBook Neo,Entertainment,24,21.0,thm,2026-04-08 03:51:07
47660853,Book review: There Is No Antimemetics Division,Entertainment,278,222.0,ibobev,2026-04-08 03:51:07
47674662,Show HN: A social feed with no algo where communities decide what gets seen,Entertainment,6,5.0,smnkgv,2026-04-08 03:51:07
47655392,Show HN: I made a YouTube search form with advanced filters,Entertainment,318,201.0,nevernothing,2026-04-08 03:51:07
47662429,Show HN: Weird Clocks,Entertainment,48,16.0,vunderba,2026-04-08 03:51:08
47675709,Show HN: The King James Bible deserved a better website,Entertainment,7,3.0,L23234,2026-04-08 03:51:08
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",Entertainment,98,26.0,mohshomis,2026-04-08 03:51:08
47652322,Music for Programming,Entertainment,347,172.0,merusame,2026-04-08 03:51:08
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,Entertainment,174,30.0,laszlokorte,2026-04-08 03:51:08
47646504,Show HN: OsintRadar – Curated directory for osint tools,Entertainment,83,9.0,lexalizer,2026-04-08 03:51:08
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,Entertainment,118,54.0,waveywaves,2026-04-08 03:51:09
47682276,US and Iran agree to provisional ceasefire,Other,295,777.0,g-b-r,2026-04-08 03:51:03
47676509,Lunar Flyby,Other,464,112.0,kipi,2026-04-08 03:51:03
47679258,System Card: Claude Mythos Preview [pdf],Other,578,420.0,be7a,2026-04-08 03:51:03
47622436,Slightly safer vibecoding by adopting old hacker habits,Other,20,3.0,transpute,2026-04-08 03:51:03
47684514,Protect Your Shed,Other,13,1.0,baely,2026-04-08 03:51:03
47650887,How to get better at guitar,Other,220,110.0,jwworth,2026-04-08 03:51:04
47680404,S3 Files,Other,231,65.0,werner,2026-04-08 03:51:04
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,Other,314,66.0,speckx,2026-04-08 03:51:04
47684506,LLM scraper bots are overloading acme.com's HTTPS server,Other,10,2.0,mjyut,2026-04-08 03:51:04
47657268,A truck driver spent 20 years making a scale model of every building in NYC,Other,274,45.0,1659447091,2026-04-08 03:51:04
47637665,The Clock,Other,30,2.0,senko,2026-04-08 03:51:04
47682719,Xilem – An experimental Rust native UI framework,Other,45,9.0,Levitating,2026-04-08 03:51:04
47683376,JSIR: A High-Level IR for JavaScript,Other,23,6.0,nnx,2026-04-08 03:51:04
47654626,A whole boss fight in 256 bytes,Other,74,17.0,HellMood,2026-04-08 03:51:04
47677885,Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP,Other,160,72.0,gmac,2026-04-08 03:51:04
47658104,The Image Boards of Hayao Miyazaki,Other,128,13.0,vinhnx,2026-04-08 03:51:04
47681274,Bitcoin and quantum computing,Other,117,76.0,nehan,2026-04-08 03:51:04
47675213,Google open-sources experimental agent orchestration testbed Scion,Other,167,47.0,timbilt,2026-04-08 03:51:04
47675893,A blind man made it possible for others with low vision to build Lego sets,Other,60,5.0,speckx,2026-04-08 03:51:04
47681361,Move Detroit,Other,45,62.0,rmason,2026-04-08 03:51:04
47675372,Has electricity decoupled from natural gas prices in Germany?,Other,93,130.0,konschubert,2026-04-08 03:51:04
47671219,John Coltrane illustrates the mathematics of jazz,Other,108,14.0,luu,2026-04-08 03:51:04
47675302,9 Mothers (YC P26) Is Hiring – Lead Robotics and More,Other,1,,ukd1,2026-04-08 03:51:04
47679155,Assessing Claude Mythos Preview's cybersecurity capabilities,Other,272,40.0,sweis,2026-04-08 03:51:04
47659135,Sam Altman may control our future – can he be trusted?,Other,1988,831.0,adrianhon,2026-04-08 03:51:04
